generation,best_fitness,avg_fitness,elite_fitness,best_pieces,best_rows
111,21.5,19.409333333333333,20.924999999999997,21.5,0.0
112,21.7,19.493333333333336,20.887500000000003,21.7,0.0
113,21.8,19.326666666666668,21.0,21.8,0.0
114,21.1,19.310666666666666,20.900000000000002,21.1,0.0
115,21.3,19.396,20.9375,21.3,0.0
116,21.1,19.482666666666667,20.8875,21.1,0.0
117,21.3,19.308000000000003,20.825,21.3,0.0
118,21.1,19.453333333333333,20.599999999999998,21.1,0.0
119,21.8,19.509333333333334,21.025,21.8,0.0
120,21.8,19.561333333333334,21.075000000000003,21.8,0.0
121,21.7,19.648000000000003,21.075000000000003,21.7,0.0
122,21.8,19.43466666666667,21.1875,21.8,0.0
123,21.3,19.641333333333336,20.95,21.3,0.0
124,21.2,19.252000000000002,20.775,21.2,0.0
125,21.5,19.444,20.8375,21.5,0.0
