generation,best_fitness,avg_fitness,elite_fitness,best_pieces,best_rows
1,29.9,28.03066666666666,29.2875,29.1,0.4
2,21.4,19.481333333333335,20.8375,21.4,0.0
3,21.9,19.453333333333337,20.975,21.9,0.0
4,21.2,19.429333333333332,20.75,21.2,0.0
5,21.2,19.39333333333333,20.775000000000002,21.2,0.0
6,22.0,19.358666666666668,20.837500000000002,22.0,0.0
7,21.4,19.448,21.125,21.4,0.0
8,21.3,19.418666666666663,20.924999999999997,21.3,0.0
9,20.9,19.214666666666666,20.5375,20.9,0.0
10,21.7,19.381333333333334,20.875,21.7,0.0
11,21.1,19.245333333333335,20.7,21.1,0.0
12,21.7,19.508,21.15,21.7,0.0
13,21.7,19.249333333333333,20.8625,21.7,0.0
14,21.3,19.461333333333336,20.925,21.3,0.0
15,21.5,19.62933333333334,21.075,21.5,0.0
16,21.8,19.649333333333335,21.2125,21.8,0.0
17,21.4,19.358666666666668,20.9,21.4,0.0
18,21.3,19.441333333333333,20.85,21.3,0.0
19,21.3,19.41466666666667,20.825,21.3,0.0
20,20.9,19.4,20.6875,20.9,0.0
21,21.1,19.301333333333336,20.8,21.1,0.0
22,21.2,19.310666666666666,20.725,21.2,0.0
23,22.0,19.612,21.3125,22.0,0.0
24,22.2,19.425333333333334,20.9875,22.2,0.0
25,21.5,19.46,21.0,21.5,0.0
26,21.5,19.57466666666667,21.162499999999998,21.5,0.0
27,21.6,19.41333333333333,20.9625,21.6,0.0
28,21.1,19.467999999999996,20.75,21.1,0.0
29,21.9,19.356,21.2375,21.9,0.0
30,21.0,19.48933333333333,20.7375,21.0,0.0
31,21.4,19.514666666666667,20.9375,21.4,0.0
32,21.1,19.42533333333333,20.875,21.1,0.0
33,21.6,19.491999999999994,20.9375,21.6,0.0
34,21.3,19.317333333333337,20.825000000000003,21.3,0.0
35,21.4,19.387999999999998,20.8125,21.4,0.0
36,21.7,19.357333333333333,20.75,21.7,0.0
37,22.1,19.289333333333335,20.974999999999998,22.1,0.0
38,21.5,19.488000000000003,21.1875,21.5,0.0
39,21.7,19.47066666666667,21.0125,21.7,0.0
40,21.8,19.578666666666667,21.1,21.8,0.0
41,21.1,19.270666666666667,20.6875,21.1,0.0
42,21.6,19.491999999999997,20.8875,21.6,0.0
43,21.2,19.629333333333335,20.9375,21.2,0.0
44,20.9,19.313333333333336,20.6125,20.9,0.0
45,21.3,19.401333333333334,20.8,21.3,0.0
46,21.2,19.446666666666665,20.7625,21.2,0.0
47,21.5,19.336,20.875,21.5,0.0
48,21.5,19.490666666666666,21.125,21.5,0.0
49,21.3,19.435999999999996,20.8,21.3,0.0
50,21.4,19.48266666666667,21.0,21.4,0.0
51,21.5,19.396,20.7875,21.5,0.0
52,21.7,19.345333333333336,21.0625,21.7,0.0
53,21.2,19.433333333333334,20.9375,21.2,0.0
54,21.3,19.483999999999998,20.7375,21.3,0.0
55,21.4,19.386666666666663,20.9375,21.4,0.0
56,21.0,19.270666666666667,20.612499999999997,21.0,0.0
57,21.1,19.426666666666666,20.8,21.1,0.0
58,21.4,19.385333333333335,20.7125,21.4,0.0
59,21.3,19.510666666666662,20.9875,21.3,0.0
60,21.2,19.253333333333334,20.7375,21.2,0.0
61,22.1,19.516000000000002,21.25,22.1,0.0
62,21.4,19.552,20.924999999999997,21.4,0.0
63,21.7,19.56266666666667,21.05,21.7,0.0
64,21.5,19.576,21.0375,21.5,0.0
65,21.5,19.35333333333333,20.8875,21.5,0.0
66,21.2,19.356000000000005,20.8375,21.2,0.0
67,21.3,19.462666666666667,20.825,21.3,0.0
68,21.3,19.553333333333335,20.775,21.3,0.0
69,21.5,19.267999999999997,20.625,21.5,0.0
70,21.6,19.605333333333334,20.950000000000003,21.6,0.0
71,21.4,19.262666666666664,20.7125,21.4,0.0
72,21.6,19.469333333333335,21.112499999999997,21.6,0.0
73,21.9,19.372,20.9625,21.9,0.0
74,21.6,19.62533333333333,21.1375,21.6,0.0
75,21.5,19.677333333333333,21.1125,21.5,0.0
76,21.4,19.478666666666665,21.075000000000003,21.4,0.0
77,21.5,19.357333333333337,20.8375,21.5,0.0
78,21.1,19.438666666666666,20.8125,21.1,0.0
79,21.4,19.56533333333333,21.075,21.4,0.0
80,22.1,19.476,20.8,22.1,0.0
81,21.2,19.413333333333338,20.700000000000003,21.2,0.0
82,21.2,19.510666666666665,20.799999999999997,21.2,0.0
83,21.0,19.378666666666668,20.6875,21.0,0.0
84,21.1,19.429333333333332,20.8,21.1,0.0
85,22.3,19.795999999999996,21.375,22.3,0.0
86,21.2,19.33733333333333,20.612499999999997,21.2,0.0
87,21.6,19.653333333333336,20.950000000000003,21.6,0.0
88,21.1,19.454666666666668,20.7875,21.1,0.0
89,21.3,19.442666666666668,20.775,21.3,0.0
90,21.6,19.448,20.9,21.6,0.0
91,21.6,19.624000000000002,21.225,21.6,0.0
92,21.5,19.40533333333333,20.9875,21.5,0.0
93,21.8,19.377333333333333,21.137500000000003,21.8,0.0
94,21.2,19.508000000000003,20.8375,21.2,0.0
95,21.8,19.524,21.2,21.8,0.0
96,21.3,19.487999999999996,21.0,21.3,0.0
97,21.4,19.362666666666666,20.975,21.4,0.0
98,21.2,19.309333333333335,20.675,21.2,0.0
99,21.5,19.51066666666667,20.8375,21.5,0.0
100,21.2,19.444,20.9125,21.2,0.0
101,21.4,19.477333333333334,20.675,21.4,0.0
102,21.8,19.405333333333335,21.225,21.8,0.0
103,22.0,19.51466666666667,21.2875,22.0,0.0
104,22.0,19.477333333333334,21.0625,22.0,0.0
105,21.1,19.362666666666666,20.625,21.1,0.0
106,21.6,19.38533333333333,20.8625,21.6,0.0
107,21.9,19.204,20.875,21.9,0.0
108,21.3,19.430666666666664,20.85,21.3,0.0
109,21.0,19.364,20.7875,21.0,0.0
110,20.9,19.41333333333333,20.512500000000003,20.9,0.0
