generation,best_fitness,avg_fitness,elite_fitness,best_pieces,best_rows
1,127.33333333333333,31.46666666666667,92.1111111111111,78.66666666666667,24.333333333333332
2,71.66666666666667,23.01666666666667,66.66666666666667,46.333333333333336,12.666666666666666
3,133.0,29.55,103.11111111111113,80.33333333333333,26.333333333333332
4,943.0,73.75,370.6666666666667,518.3333333333334,212.33333333333334
5,104.0,28.166666666666668,82.00000000000001,68.0,18.0
6,371.6666666666667,43.25,198.7777777777778,211.0,80.33333333333333
7,464.6666666666667,50.16666666666667,229.11111111111111,259.3333333333333,102.66666666666667
8,661.3333333333334,75.13333333333335,369.4444444444444,364.6666666666667,148.33333333333334
9,853.0,142.85000000000002,704.4444444444445,473.6666666666667,189.66666666666666
10,181.66666666666666,26.266666666666662,91.55555555555554,107.66666666666667,37.0
11,338.0,48.28333333333333,194.77777777777774,190.66666666666666,73.66666666666667
12,1344.3333333333333,86.48333333333332,477.1111111111111,731.0,306.6666666666667
13,717.6666666666666,62.85,292.77777777777777,397.0,160.33333333333334
14,116.0,31.43333333333333,85.22222222222221,73.33333333333333,21.333333333333332
15,2146.6666666666665,156.61666666666665,877.6666666666665,1159.3333333333333,493.6666666666667
16,1866.6666666666667,131.51666666666668,767.888888888889,1017.3333333333334,424.6666666666667
17,197.66666666666666,32.11666666666666,130.11111111111111,122.33333333333333,37.666666666666664
18,235.66666666666666,33.13333333333334,130.33333333333331,133.66666666666666,51.0
19,84.66666666666667,26.06666666666667,82.33333333333333,54.666666666666664,15.0
20,1935.3333333333333,131.11666666666665,730.3333333333334,1050.6666666666667,442.3333333333333
21,376.6666666666667,68.23333333333333,293.22222222222223,210.66666666666666,83.0
22,103.66666666666667,21.683333333333337,65.33333333333333,68.33333333333333,17.666666666666668
23,105.0,23.366666666666664,62.333333333333336,65.0,20.0
24,195.66666666666666,30.6,102.22222222222221,115.66666666666667,40.0
25,280.3333333333333,36.883333333333326,125.33333333333333,159.66666666666666,60.333333333333336
26,76.33333333333333,22.75,60.11111111111111,53.666666666666664,11.333333333333334
27,61.0,18.75,44.44444444444445,41.666666666666664,9.666666666666666
28,105.0,24.916666666666664,69.44444444444444,66.33333333333333,19.333333333333332
29,1332.6666666666667,126.45,678.3333333333334,725.3333333333334,303.6666666666667
30,411.6666666666667,53.333333333333336,235.55555555555557,231.66666666666666,90.0
